ID,Title,Category,Tool,Tags,Tier,Prompt Text
39,"Neon Cyberpunk Loop","Motion Graphics","Pika","neon, cyberpunk, synthwave, loop","Pro","Pulsing neon lights in cyberpunk setting, synthwave aesthetic, purple and pink gradients, urban night environment, retro-futuristic, music visualizer feel, endless loop, 80s inspired"
40,"Paper Cutout Animation","Motion Graphics","Runway","paper, cutout, craft, charming","Pro","Charming paper cutout animation style, layered 2D aesthetic, handmade craft feel, stop motion influence, warm friendly colors, explainer video style, accessible and engaging"
41,"360 Product with Environment","Product Demo","Runway","product, 360, environment, premium","Pro","Product 360 rotation with environmental context, seamless turntable, lifestyle setting visible in reflections, professional studio with view, ultra-premium aesthetic, 8K commercial quality, brand storytelling"
42,"Cosmetics Swatch Motion","Product Demo","Pika","beauty, cosmetics, swatch, texture","Pro","Beauty product swatches spreading smoothly, satisfying motion, color gradients forming, cosmetics commercial style, soft feminine lighting, texture focus, premium beauty brand aesthetic"
43,"Food Product Steam Shot","Product Demo","Runway","food, steam, appetizing, culinary","Pro","Steaming hot food product, appetizing lighting, steam rising naturally, shallow depth of field on hero dish, professional food photography style, warm inviting colors, culinary commercial aesthetic"
44,"Product Explosion Assembly","Product Demo","Pika","product, exploded, technical, assembly","Pro","Dynamic product explosion view showing all components, parts floating and assembling, technical aesthetic, engineering focus, smooth motion, product design showcase, instructional yet cinematic"
45,"Tech Product Unfold","Product Demo","Runway","tech, transform, futuristic, sci-fi","Pro","Futuristic tech product unfolding or transforming, sleek animation, cyberpunk lighting accents, innovative reveal, sci-fi aesthetic, cutting-edge technology showcase, dramatic lighting"
46,"Digital Glitch Cut","Transitions","Pika","glitch, digital, error, cyberpunk","Pro","Digital glitch artifact transition, pixel sorting, datamoshing aesthetic, tech error style, cyberpunk influence, modern edgy feel, intentional distortion"
47,"Glass Shatter Reveal","Transitions","Pika","shatter, glass, dramatic, impact","Pro","Dramatic glass shatter revealing next scene, crystalline breaking effect, slow motion shards, cinematic impact, action movie aesthetic, dynamic destruction, sharp details"
48,"Ink Bleed Transition","Transitions","Runway","ink, bleed, organic, artistic","Pro","Organic ink bleed spreading across frame, fluid artistic transition, paper texture visible, watercolor aesthetic, gentle yet transformative, creative artistic feel"
49,"Page Turn Effect","Transitions","Runway","page, turn, book, nostalgic","Pro","Physical page turning transition, book or magazine aesthetic, nostalgic feel, paper texture, smooth curl motion, editorial style, storybook charm"
50,"Smoke Dissolve","Transitions","Pika","smoke, dissolve, ethereal, dreamy","Pro","Elegant smoke dissolve transition, ethereal and mysterious, soft diffusion, atmospheric effect, cinematic fade, fantasy aesthetic, dreamy quality"
51,"Atmospheric Fog","VFX","Pika","fog, mist, atmosphere, moody","Pro","Thick atmospheric fog or mist, moody environment, volumetric lighting through haze, mysterious mood, horror or thriller aesthetic, depth layers, cinematic atmosphere"
52,"Cinematic Lens Flare","VFX","Runway","flare, lens, anamorphic, cinematic","Pro","Organic anamorphic lens flare streaking across frame, cinematic bloom, JJ Abrams style light leak, realistic optical artifact, sunset or bright source causing flare, film aesthetic"
53,"Double Exposure Effect","VFX","Runway","double, exposure, artistic, metaphor","Pro","Artistic double exposure, two scenes blended, silhouette with landscape inside, editorial photography style, emotional metaphor, artistic montage, creative visual storytelling"
54,"Fire/Smoke Element","VFX","Runway","fire, smoke, practical, dramatic","Pro","Realistic fire or smoke element, practical effect aesthetic, warm lighting from flame, organic movement, action or dramatic scene, cinematic color grade, atmospheric enhancement"
55,"Hologram Projection","VFX","Runway","hologram, projection, scifi, future","Pro","Holographic projection effect, translucent blue figure, sci-fi aesthetic, futuristic interface, glowing edges, digital artifact noise, Blade Runner influence, tech noir"
56,"Particle Dust Motes","VFX","Runway","particles, dust, light, magical","Pro","Golden hour dust particles floating in light beam, magical atmosphere, visible light rays, cinematic indoor shot, shallow depth of field on particles, ethereal quality"
57,"Practical Light Leaks","VFX","Pika","light, leak, vintage, film","Pro","Organic film light leaks, vintage 16mm aesthetic, warm orange and red flashes, corner light bleed, nostalgic film damage, authentic retro feel, analog texture"
58,"Rain on Lens","VFX","Pika","rain, lens, drops, moody","Pro","Rain droplets on camera lens, out of focus water drops in foreground, dramatic background scene, moody weather aesthetic, emotional feel, cinematic storm"
59,"Slow Motion Rain","VFX","Pika","rain, slowmo, noir, melancholic","Pro","Heavy rain in dramatic slow motion, individual droplets visible, moody atmospheric lighting, noir aesthetic, melancholic feel, cinematic weather, temporal manipulation"
60,"Time Slice/Bullet Time","VFX","Pika","time, freeze, bullet, spectacle","Pro","Frozen moment with camera moving through scene, Matrix bullet time aesthetic, temporal freeze, 3D spatial movement, suspended objects, dramatic action frozen, cinematic spectacle"
